uid,lat,lon,heading,country,city,district,ward,image_path
68,10.770771709599616,106.69307285208328,166.66603575709016,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_68.jpg
69,10.770446022159769,106.69307729234578,166.66603575709016,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_69.jpg
70,10.771110699470396,106.692958300927,234.52582028980729,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_70.jpg
71,10.770848009007878,106.69258634071645,234.52582028980729,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_71.jpg
72,10.771566799476982,106.7055005009154,181.6624943777111,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_72.jpg
73,10.77111497912192,106.70548715201438,181.6624943777111,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_73.jpg
74,10.771566799476982,106.7055005009154,270.78299971455857,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_74.jpg
75,10.771569388632198,106.70504491148677,270.78299971455857,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_75.jpg
76,10.766658599473116,106.6954087009222,57.03482584671288,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_76.jpg
77,10.766942850861623,106.6957613246438,57.03482584671288,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_77.jpg
78,10.769631599468322,106.68822630093064,323.9304084464751,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_78.jpg
79,10.76999526260021,106.68795556602277,323.9304084464751,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_79.jpg
80,10.769631599468322,106.68822630093064,45.38396401779171,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_80.jpg
81,10.769948308459112,106.68855246859744,45.38396401779171,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_81.jpg
82,10.770012199468052,106.68794410093116,143.93035571347284,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_82.jpg
83,10.76964745736404,106.6882133533273,143.93035571347284,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_83.jpg
84,10.770901699468892,106.69003500092964,242.28200549915024,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_84.jpg
85,10.77069252409105,106.68962974549096,242.28200549915024,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_85.jpg
86,10.770901699468892,106.69003500092964,148.26584308444976,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_86.jpg
87,10.77051795239682,106.69027657974809,148.26584308444976,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_87.jpg
88,10.770134205220106,106.69051815800051,148.26584308444976,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_88.jpg
89,10.770901699468892,106.69003500092964,67.89599734981905,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_89.jpg
90,10.771073755636214,106.69045753869312,67.89599734981905,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_90.jpg
91,10.76884729947153,106.69374070092503,149.07912718410262,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_91.jpg
92,10.768461195496716,106.69397837455357,149.07912718410262,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_92.jpg
93,10.768073826934746,106.69421396358624,149.07912718410262,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_93.jpg
94,10.767686059377228,106.6944488800964,149.07912718410262,Vietnam,Ho Chi Minh,District 1,Co Giang,data/processing/images/district_1/co_giang/original/gsv_94.jpg
95,10.782512799468869,106.6968029009297,223.76460434361945,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_95.jpg
96,10.782187178070178,106.69648581982727,223.76460434361945,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_96.jpg
97,10.78216489946879,106.69646370092984,132.94126151419957,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_97.jpg
