uid,lat,lon,heading,district,ward,pct_other,pct_vegetation,pct_sky,pct_building,pct_pavement_road,pct_water,pct_vehicle_clutter,gvi,svi,bvi,hardscape_index,lst_kelvin,lst_celsius,ndvi,emissivity,palsar_hh_db,palsar_hv_db,palsar_hv_hh_ratio,palsar_glcm_contrast,palsar_glcm_homogeneity,palsar_glcm_energy,elevation_m,sky_view_factor,landcover_class
9848,10.8143214850356,106.73116452732326,303.9622186511257,District 2,Thao Dien,0.85734130859375,0.02410400390625,9.765625e-06,0.00324462890625,0.03206298828125,0.0736279296875,0.009609375,0.02410400390625,9.765625e-06,0.00324462890625,0.0449169921875,311.9814453125,38.83144531250002,0.058230042457580566,2.757200002670288,-1.393965464121763,-10.662091471984795,7.648748657271943,7918.1500000000015,0.010388625847395888,0.15811388300841897,6.0,0.9985238741375135,2.0
9849,10.814070099477568,106.73154450091435,77.60238847041431,District 2,Thao Dien,0.8527880859375,0.01164794921875,3.41796875e-05,0.0049755859375,0.02776123046875,0.08543212890625,0.01736083984375,0.01164794921875,3.41796875e-05,0.0049755859375,0.05009765625,312.138671875,38.98867187500002,0.05608499050140381,2.7493999004364014,-5.694366300087793,-9.238726061073109,1.6224326947373706,8421.25,0.010925759829398583,0.15811388300841897,5.0,0.9928291839580258,2.0
9850,10.81429982934796,106.7318478147012,77.60238847041431,District 2,Thao Dien,0.8186083984375,0.03244140625,7.32421875e-06,0.00126953125,0.03516357421875,0.09911376953125,0.01339599609375,0.03244140625,7.32421875e-06,0.00126953125,0.0498291015625,311.93701171875,38.78701171875002,0.05539751052856445,2.7468998432159424,-1.3708934435485247,-10.214255481795263,7.450801905767314,7284.35,0.00205358463627918,0.15811388300841897,7.0,0.9979296445282156,2.0
9851,10.810290499477672,106.72951750091416,187.4907633342133,District 2,Thao Dien,0.86068115234375,0.010048828125,0.0,0.00482666015625,0.01620361328125,0.08348388671875,0.024755859375,0.010048828125,0.0,0.00482666015625,0.0457861328125,314.56549072265625,41.41549072265627,0.06186002492904663,2.770400047302246,-2.4587187569790956,-10.499927979702733,4.270487606562805,2081.5499999999997,0.0023942317914945814,0.15811388300841892,6.0,0.9989587402186516,2.0
9852,10.809842400109352,106.72945751653296,187.4907633342133,District 2,Thao Dien,0.8725244140625,0.00972900390625,4.8828125e-06,0.003779296875,0.02110595703125,0.071796875,0.0210595703125,0.00972900390625,4.8828125e-06,0.003779296875,0.04594482421875,314.86285400390625,41.71285400390627,0.06205248832702637,2.7711000442504883,-2.2403210110574605,-13.094665112243788,5.8449950018827606,2325.9000000000005,0.001722790537460231,0.15811388300841903,7.0,0.9995161570234138,2.0
9853,10.810290499477672,106.72951750091416,93.02647276402362,District 2,Thao Dien,0.82967041015625,0.0071337890625,0.0,0.0039306640625,0.04186279296875,0.09216064453125,0.02524169921875,0.0071337890625,0.0,0.0039306640625,0.07103515625,314.56549072265625,41.41549072265627,0.06186002492904663,2.770400047302246,-2.4587187569790956,-10.499927979702733,4.270487606562805,2081.5499999999997,0.0023942317914945814,0.15811388300841892,6.0,0.9989587402186516,2.0
9854,10.81026783647626,106.72997412583048,93.02647276402362,District 2,Thao Dien,0.90369140625,0.00585693359375,1.953125e-05,0.00367919921875,0.02118896484375,0.05308837890625,0.0124755859375,0.00585693359375,1.953125e-05,0.00367919921875,0.03734375,314.4150695800781,41.26506958007815,0.062217533588409424,2.771699905395508,5.2087957242069365,-3.4904447366825053,-0.67010589807953,2146.8,0.0571420040377843,0.16955824957813173,7.0,0.9993680834531528,2.0
9855,10.810290499477672,106.72951750091416,6.066567977582179,District 2,Thao Dien,0.844619140625,0.006416015625,4.39453125e-05,0.00310302734375,0.03261962890625,0.094482421875,0.0187158203125,0.006416015625,4.39453125e-05,0.00310302734375,0.0544384765625,314.56549072265625,41.41549072265627,0.06186002492904663,2.770400047302246,-2.4587187569790956,-10.499927979702733,4.270487606562805,2081.5499999999997,0.0023942317914945814,0.15811388300841892,6.0,0.9989587402186516,2.0
9856,10.810740840009316,106.72955497912837,6.066567977582179,District 2,Thao Dien,0.9055029296875,0.00599365234375,7.32421875e-06,0.00291259765625,0.01890380859375,0.05400390625,0.01267578125,0.00599365234375,7.32421875e-06,0.00291259765625,0.0344921875,314.63385009765625,41.48385009765627,0.06276750564575195,2.773699998855591,-3.861271723116076,-9.104387279758768,2.357872725002492,2423.2999999999997,0.001931357937798122,0.158113883008419,7.0,0.9998915257686337,2.0
9857,10.805425499478632,106.72844600091248,0.4578004966577262,District 2,Thao Dien,0.8744580078125,0.00357421875,2.44140625e-06,0.00379150390625,0.01677490234375,0.08850341796875,0.0128955078125,0.00357421875,2.44140625e-06,0.00379150390625,0.0334619140625,314.96881103515625,41.81881103515627,0.06375753879547119,2.7772998809814453,0.14732183524540687,-10.685206227616902,-72.52968448171731,3446.9500000000003,0.05138986181553549,0.16201851746019652,9.0,0.999997222553967,2.0
