uid,lat,lon,heading,district,ward,pct_other,pct_vegetation,pct_sky,pct_building,pct_pavement_road,pct_water,pct_vehicle_clutter,gvi,svi,bvi,hardscape_index
401,10.770538460525648,106.68579830290244,225.18137333585616,District 1,Ben Thanh,0.6883154296875,0.031103515625,0.0001806640625,0.0027734375,0.143212890625,0.08320556640625,0.05120849609375,0.031103515625,0.0001806640625,0.0027734375,0.19719482421875
402,10.771297999466793,106.68635200093335,135.52923430220204,District 1,Ben Thanh,0.8767138671875,0.0061474609375,0.00022216796875,0.0037158203125,0.03626953125,0.05092529296875,0.026005859375,0.0061474609375,0.00022216796875,0.0037158203125,0.0659912109375
403,10.770976464083112,106.686673311199,135.52923430220204,District 1,Ben Thanh,0.874921875,0.0107177734375,0.0003173828125,0.0041748046875,0.032763671875,0.05518310546875,0.02192138671875,0.0107177734375,0.0003173828125,0.0041748046875,0.0588598632812499
404,10.771524799465196,106.68351530093616,41.84977937280284,District 1,Ben Thanh,0.84530029296875,0.0077978515625,3.41796875e-05,0.0051611328125,0.03539794921875,0.0693310546875,0.0369775390625,0.0077978515625,3.41796875e-05,0.0051611328125,0.07753662109375
405,10.771221738789418,106.68385448209858,41.84977937280284,District 1,Ben Thanh,0.80247802734375,0.02053955078125,2.685546875e-05,0.005361328125,0.07301513671875,0.06594970703125,0.03262939453125,0.02053955078125,2.685546875e-05,0.005361328125,0.1110058593749999
406,10.770945186219455,106.68419302500097,41.84977937280284,District 1,Ben Thanh,0.86003662109375,0.0163525390625,2.9296875e-05,0.00076904296875,0.02126953125,0.08370361328125,0.01783935546875,0.0163525390625,2.9296875e-05,0.00076904296875,0.0398779296875
407,10.771259413976006,106.68416300493372,41.84977937280284,District 1,Ben Thanh,0.83819580078125,0.00743408203125,3.90625e-05,0.00428955078125,0.05150390625,0.06857177734375,0.0299658203125,0.00743408203125,3.90625e-05,0.00428955078125,0.08575927734375
408,10.771570910997928,106.68383173868652,41.84977937280284,District 1,Ben Thanh,0.78287109375,0.01205810546875,9.765625e-05,0.0032861328125,0.09290771484375,0.07536376953125,0.03341552734375,0.01205810546875,9.765625e-05,0.0032861328125,0.129609375
409,10.770469199467138,106.68651170093275,106.6005443739011,District 1,Ben Thanh,0.8787158203125,0.00218017578125,0.0001708984375,0.002158203125,0.0477734375,0.060087890625,0.00891357421875,0.00218017578125,0.0001708984375,0.002158203125,0.05884521484375
410,10.770172822905725,106.68677879741382,106.6005443739011,District 1,Ben Thanh,0.73734130859375,0.04138671875,4.638671875e-05,0.0064990234375,0.0651611328125,0.13146240234375,0.01810302734375,0.04138671875,4.638671875e-05,0.0064990234375,0.0897631835937499
411,10.77034469946741,106.68693680093229,286.6006238142831,District 1,Ben Thanh,0.78275390625,0.0113134765625,7.32421875e-05,0.0056396484375,0.05419921875,0.13210693359375,0.01391357421875,0.0113134765625,7.32421875e-05,0.0056396484375,0.07375244140625
412,10.77027899289946,106.68664652152856,286.6006238142831,District 1,Ben Thanh,0.87877197265625,0.0074609375,3.90625e-05,0.00475341796875,0.031796875,0.05801025390625,0.01916748046875,0.0074609375,3.90625e-05,0.00475341796875,0.0557177734375
413,10.774683199466354,106.68752550093411,42.005271180404726,District 1,Ben Thanh,0.876416015625,0.00361572265625,2.44140625e-05,0.00189697265625,0.030068359375,0.05686279296875,0.03111572265625,0.00361572265625,2.44140625e-05,0.00189697265625,0.0630810546875
414,10.775018108502174,106.68783252326789,42.005271180404726,District 1,Ben Thanh,0.8646142578125,0.01009521484375,0.00020751953125,0.00525146484375,0.0348876953125,0.061142578125,0.02380126953125,0.01009521484375,0.00020751953125,0.00525146484375,0.0639404296875
415,10.77535301712399,106.6881395462911,42.005271180404726,District 1,Ben Thanh,0.86583740234375,0.0127783203125,0.00017822265625,0.00234375,0.038125,0.05500732421875,0.02572998046875,0.0127783203125,0.00017822265625,0.00234375,0.06619873046875
416,10.77568792533177,106.68844657000386,42.005271180404726,District 1,Ben Thanh,0.88661376953125,0.00484619140625,0.00011474609375,0.00478271484375,0.0218505859375,0.05019287109375,0.03159912109375,0.00484619140625,0.00011474609375,0.00478271484375,0.058232421875
417,10.77602283312549,106.68875359440622,42.005271180404726,District 1,Ben Thanh,0.7033935546875,0.02650390625,6.8359375e-05,0.003662109375,0.109482421875,0.10492919921875,0.05196044921875,0.02650390625,6.8359375e-05,0.003662109375,0.16510498046875
418,10.77161049946521,106.68359180093614,313.2796465775944,District 1,Ben Thanh,0.8485302734375,0.00380126953125,0.00014404296875,0.00357666015625,0.035283203125,0.02677734375,0.08188720703125,0.00380126953125,0.00014404296875,0.00357666015625,0.1207470703125
419,10.771919685462368,106.68325832181776,313.2796465775944,District 1,Ben Thanh,0.7492578125,0.0228759765625,0.0001318359375,0.0043994140625,0.096904296875,0.06321533203125,0.06321533203125,0.0228759765625,0.0001318359375,0.0043994140625,0.16451904296875
420,10.770050899469444,106.6905706009287,328.26594317475656,District 1,Ben Thanh,0.72661376953125,0.03080810546875,0.00010009765625,0.00250244140625,0.05812744140625,0.09050537109375,0.0913427734375,0.03080810546875,0.00010009765625,0.00250244140625,0.15197265625
421,10.770434646668878,106.69032902279912,328.26594317475656,District 1,Ben Thanh,0.84114013671875,0.0186962890625,3.90625e-05,0.00687744140625,0.0350146484375,0.06980712890625,0.02842529296875,0.0186962890625,3.90625e-05,0.00687744140625,0.0703173828125
422,10.770818393763667,106.69008744410358,328.26594317475656,District 1,Ben Thanh,0.80612060546875,0.0232080078125,1.953125e-05,0.00772216796875,0.04450927734375,0.09442626953125,0.023994140625,0.0232080078125,1.953125e-05,0.00772216796875,0.0762255859375
423,10.770050899469444,106.6905706009287,225.46985809305312,District 1,Ben Thanh,0.7458642578125,0.018662109375,4.638671875e-05,0.0045361328125,0.04679931640625,0.172568359375,0.0115234375,0.018662109375,4.638671875e-05,0.0045361328125,0.0628588867187499
424,10.76976314684672,106.69027964007094,225.46985809305312,District 1,Ben Thanh,0.80070556640625,0.019580078125,1.953125e-05,0.0034619140625,0.06544189453125,0.0803076171875,0.0304833984375,0.019580078125,1.953125e-05,0.0034619140625,0.09938720703125
425,10.770050899469444,106.6905706009287,42.68677138592149,District 1,Ben Thanh,0.8183154296875,0.013798828125,6.103515625e-05,0.0032666015625,0.04261962890625,0.10351318359375,0.01842529296875,0.013798828125,6.103515625e-05,0.0032666015625,0.0643115234374999
426,10.77032317984384,106.69092706730152,42.68677138592149,District 1,Ben Thanh,0.8583349609375,0.009931640625,0.00025390625,0.00382080078125,0.0324853515625,0.07059326171875,0.024580078125,0.009931640625,0.00025390625,0.00382080078125,0.06088623046875
427,10.770916299469263,106.690739600929,144.67653175054994,District 1,Ben Thanh,0.73443359375,0.01447265625,7.32421875e-06,0.003359375,0.1006396484375,0.09339599609375,0.05369140625,0.01447265625,7.32421875e-06,0.003359375,0.1576904296875
428,10.770548300655244,106.69100506139245,144.67653175054994,District 1,Ben Thanh,0.76817138671875,0.01439697265625,0.00021484375,0.00389892578125,0.100029296875,0.0770263671875,0.03626220703125,0.01439697265625,0.00021484375,0.00389892578125,0.1401904296875
