osmid,y,x,street_count,highway,ref,railway,geometry,lon,lat,lst_kelvin,lst_celsius,ndvi,emissivity,palsar_hh_db,palsar_hv_db,palsar_hv_hh_ratio,palsar_glcm_contrast,palsar_glcm_homogeneity,palsar_glcm_energy,elevation_m,sky_view_factor,landcover_class
366476922,10.8061304,106.7445779,3,,,,POINT (106.7445779 10.8061304),106.7445779,10.8061304,313.3896484375,40.23964843750002,0.056800007820129395,2.751999855041504,-2.606875493613032,-14.744071425669134,5.655840281514329,5190.150000000001,0.006899746026332259,0.15811388300841897,6.0,0.9990250176596703,2.0
366477414,10.7985984,106.6913846,3,,,,POINT (106.6913846 10.7985984),106.6913846,10.7985984,314.1587219238281,41.00872192382815,0.06136500835418701,2.7685999870300293,-0.69311608257118,-10.22422665685204,14.751102901730832,2745.750000000001,0.028486919366428377,0.158113883008419,14.0,0.9999042351323284,2.0
366477545,10.7376808,106.6734069,3,,,,POINT (106.6734069 10.7376808),106.6734069,10.7376808,313.5913391113281,40.44133911132815,0.04414999485015869,2.7059998512268066,-3.9742212544465474,-8.799346018684929,2.2141057216781284,4642.750000000001,0.026438276741683482,0.15811388300841897,13.0,0.9996122073511818,2.0
366477562,10.7951101,106.6929896,3,,,,POINT (106.6929896 10.7951101),106.6929896,10.7951101,312.4873046875,39.33730468750002,0.05922001600265503,2.7607998847961426,2.0405465930557227,-16.710015440536964,-8.188989899766847,3338.4500000000003,0.0014625739569118648,0.16583123951777,2.0,0.990949857201579,2.0
366477630,10.7470666,106.6532807,4,,,,POINT (106.6532807 10.7470666),106.6532807,10.7470666,313.6289367675781,40.47893676757815,0.0236625075340271,2.631500005722046,-0.6884553774295483,-11.505488328118531,16.712032043494236,5139.949999999999,0.0030086740969323044,0.15811388300841892,9.0,0.995115757978182,2.0
366477769,10.7470016,106.6888953,3,,,,POINT (106.6888953 10.7470016),106.6888953,10.7470016,313.4443664550781,40.29436645507815,0.054270029067993164,2.742799997329712,-1.2507606765636154,-12.64552810332529,10.110269966328064,4074.5,0.005599365271012414,0.15811388300841897,9.0,0.9980904373090251,2.0
366477998,10.7270893,106.6504283,4,,,,POINT (106.6504283 10.7270893),106.6504283,10.7270893,312.5078125,39.35781250000002,0.03766000270843506,2.6823999881744385,-6.352376795059186,-14.46977477270849,2.2778520921433585,3686.599999999999,0.05255575351760093,0.16201851746019647,3.0,0.9953924525812226,2.0
366478257,10.8145652,106.7265391,4,,,,POINT (106.7265391 10.8145652),106.7265391,10.8145652,313.7280578613281,40.57805786132815,0.06086999177932739,2.7667999267578125,-6.235615561847482,-11.43409389758348,1.833675245719574,5567.75,0.02628035073830582,0.15811388300841897,4.0,0.9966705908751612,2.0
366478567,10.8062275,106.7464955,3,,,,POINT (106.7464955 10.8062275),106.7464955,10.8062275,314.1860656738281,41.03606567382815,0.06205248832702637,2.7711000442504883,-3.735580269540236,-12.200923166872059,3.2661386682968296,2533.7,0.028736180238436902,0.15811388300841897,5.0,0.9915732694175162,2.0
366478596,10.8043713,106.7476297,3,,,,POINT (106.7476297 10.8043713),106.7476297,10.8043713,310.8330078125,37.68300781250002,0.048137545585632324,2.7204999923706055,-1.8011622387608952,-11.62658043980207,6.4550434100820056,1961.55,0.0887961311728097,0.16201851746019652,5.0,0.9954901289990153,2.0
366478609,10.7410536,106.6572474,3,,,,POINT (106.6572474 10.7410536),106.6572474,10.7410536,313.40673828125,40.25673828125002,0.019015014171600342,2.6145999431610107,1.5961956590507924,-9.920321852518626,-6.21497859380092,4965.299999999999,0.003770610471924262,0.15811388300841894,6.0,0.9960300712657468,2.0
366478728,10.7447572,106.6919851,3,,,,POINT (106.6919851 10.7447572),106.6919851,10.7447572,314.0151672363281,40.86516723632815,0.06166750192642212,2.769699811935425,2.3860550173868376,-3.1506970438391306,-1.32046286480423,2038.1499999999996,0.005215855729659023,0.15811388300841892,6.0,0.9995370689225044,2.0
366478773,10.7972999,106.7289883,4,,,,POINT (106.7289883 10.7972999),106.7289883,10.7972999,311.35595703125,38.20595703125002,0.051410019397735596,2.7323999404907227,-7.178825128163496,-14.27038609981011,1.987844228692167,5727.299999999999,0.06578060488035176,0.1620185174601965,2.0,0.9860065672412726,2.0
366478866,10.8116563,106.7270122,4,,,,POINT (106.7270122 10.8116563),106.7270122,10.8116563,313.7861633300781,40.63616333007815,0.06353753805160522,2.7764999866485596,-7.0297493393729695,-11.633618298097772,1.6549122502759754,5133.499999999998,0.01131181160987228,0.15811388300841894,8.0,0.9998438737680465,2.0
366478867,10.7974888,106.7300211,1,turning_circle,,,POINT (106.7300211 10.7974888),106.7300211,10.7974888,313.6904602050781,40.54046020507815,0.058862507343292236,2.759500026702881,-7.926807054280019,-8.823087239036425,1.1130695094025869,3337.4000000000005,0.029379772311231858,0.158113883008419,13.0,0.9995023396686608,2.0
366478994,10.7374172,106.6670764,3,,,,POINT (106.6670764 10.7374172),106.6670764,10.7374172,312.5419921875,39.39199218750002,0.05504000186920166,2.7455999851226807,-4.155869154458088,-13.075249096665303,3.146212888497514,3036.0500000000006,0.023120651518330516,0.15811388300841903,11.0,0.997719880569172,2.0
373544359,10.7992972,106.7334679,5,,,,POINT (106.7334679 10.7992972),106.7334679,10.7992972,312.64111328125,39.49111328125002,0.057460010051727295,2.7544000148773193,-1.4323138250361893,-12.55894398262356,8.768290693770439,1545.1000000000001,0.01712925896098532,0.158113883008419,6.0,0.9993384586423344,2.0
378298919,10.7893979,106.7547309,3,,,,POINT (106.7547309 10.7893979),106.7547309,10.7893979,314.77740478515625,41.62740478515627,0.06309753656387329,2.774899959564209,-3.6987895877760337,-10.939278874989569,2.957529379649577,3569.8,0.002514271661061926,0.16583123951777,5.0,0.9944157223922203,2.0
383516716,10.7378012,106.6344238,3,traffic_signals,,,POINT (106.6344238 10.7378012),106.6344238,10.7378012,313.24951171875,40.09951171875002,0.05845004320144653,2.757999897003174,-6.146567324784229,-15.523377098523397,2.5255360070538777,4375.25,0.016795620738093122,0.15811388300841897,5.0,0.9991783135736272,2.0
383553866,10.7542031,106.6885576,3,,,,POINT (106.6885576 10.7542031),106.6885576,10.7542031,311.6123046875,38.46230468750002,0.056827545166015625,2.7520999908447266,-5.3495092409023925,-13.875716892840217,2.5938298763457346,3838.6500000000005,0.00600565712123419,0.15811388300841897,1.0,0.9981820795685346,2.0
383594386,10.7896678,106.712201,3,,,,POINT (106.712201 10.7896678),106.712201,10.7896678,315.63531494140625,42.48531494140627,0.06997251510620117,2.7998998165130615,-12.012576953336463,-18.666128016604915,1.5538820761868621,3603.0499999999993,0.021676858504416377,0.15811388300841892,6.0,0.9966654802649616,2.0
403582429,10.7593324,106.6981024,3,,,,POINT (106.6981024 10.7593324),106.6981024,10.7593324,313.7690734863281,40.61907348632815,0.05976998805999756,2.7627999782562256,-5.660083737787048,-5.990751344769663,1.0584209743709372,11019.050000000001,0.0009990439975664815,0.15811388300841897,6.0,0.9948595802026196,2.0
404465639,10.6903719,106.5954615,4,,,,POINT (106.5954615 10.6903719),106.5954615,10.6903719,315.69342041015625,42.54342041015627,0.06070500612258911,2.766199827194214,-2.8698234444941875,-15.814676707865033,5.510679320083541,4764.6,0.00192788137604128,0.158113883008419,0.0,0.9989182878603217,2.0
404729662,10.689609,106.5948643,3,,,,POINT (106.5948643 10.689609),106.5948643,10.689609,316.67779541015625,43.52779541015627,0.0657925009727478,2.7846999168395996,-14.411414712364248,-23.264565314675103,1.6143151646809046,4514.8,0.0035114090906803565,0.158113883008419,1.0,0.9991827549565794,2.0
406628105,10.7675494,106.7038542,3,,,,POINT (106.7038542 10.7675494),106.7038542,10.7675494,310.8466796875,37.69667968750002,0.05204254388809204,2.7346999645233154,-5.062864545255906,-13.524423307065504,2.6712986662339993,3464.3,0.01258523591694544,0.15811388300841897,4.0,0.9968653887738548,2.0
411917818,10.7936866,106.6902628,3,,,,POINT (106.6902628 10.7936866),106.6902628,10.7936866,314.2373352050781,41.08733520507815,0.061062514781951904,2.7674999237060547,5.364036463564958,-5.340406919254022,-0.9955948203425837,5282.250000000002,0.06084705836798234,0.15811388300841903,11.0,0.9967550454119948,2.0
411917819,10.7935629,106.689543,4,,,,POINT (106.689543 10.7935629),106.689543,10.7935629,314.3056945800781,41.15569458007815,0.06136500835418701,2.7685999870300293,4.870451166470772,-13.85447627877349,-2.8445981296662346,3669.0000000000005,0.0068902252176205134,0.15811388300841897,6.0,0.9701463512921763,2.0
411917820,10.7888862,106.6957717,3,,,,POINT (106.6957717 10.7888862),106.6957717,10.7888862,313.1298828125,39.97988281250002,0.06037503480911255,2.7649998664855957,-4.5020147197143245,-11.84023703550173,2.6299863000565784,7419.2,0.02570024339533275,0.15811388300841897,10.0,0.9787241106651586,2.0
