uid,file_name,rel_dir,total_pixels,count_other,pct_other,count_vegetation,pct_vegetation,count_sky,pct_sky,count_building,pct_building,count_pavement_road,pct_pavement_road,count_water,pct_water,count_vehicle_clutter,pct_vehicle_clutter
3017,superclass_3017.png,district_1/ben_thanh,409600,359857,0.87855712890625,6416,0.0156640625,7,1.708984375e-05,646,0.0015771484375,10626,0.0259423828125,32048,0.0782421875,0,0.0
3018,superclass_3018.png,district_1/ben_thanh,409600,352833,0.86140869140625,5844,0.014267578125,26,6.34765625e-05,777,0.00189697265625,13468,0.032880859375,36652,0.089482421875,0,0.0
3019,superclass_3019.png,district_1/ben_thanh,409600,354099,0.86449951171875,3578,0.0087353515625,0,0.0,943,0.00230224609375,12754,0.0311376953125,38226,0.0933251953125,0,0.0
3020,superclass_3020.png,district_1/ben_thanh,409600,305027,0.74469482421875,947,0.00231201171875,7,1.708984375e-05,478,0.0011669921875,32325,0.07891845703125,70816,0.172890625,0,0.0
3021,superclass_3021.png,district_1/ben_thanh,409600,323507,0.78981201171875,14192,0.0346484375,0,0.0,1783,0.00435302734375,31617,0.07718994140625,38501,0.09399658203125,0,0.0
3022,superclass_3022.png,district_1/ben_thanh,409600,378040,0.92294921875,1185,0.00289306640625,38,9.27734375e-05,259,0.00063232421875,8396,0.020498046875,21682,0.0529345703125,0,0.0
3023,superclass_3023.png,district_1/ben_thanh,409600,384934,0.9397802734375,404,0.000986328125,25,6.103515625e-05,3881,0.00947509765625,4971,0.01213623046875,15385,0.03756103515625,0,0.0
3024,superclass_3024.png,district_1/ben_thanh,409600,363976,0.88861328125,4145,0.01011962890625,10,2.44140625e-05,862,0.0021044921875,12564,0.030673828125,28043,0.06846435546875,0,0.0
3025,superclass_3025.png,district_1/ben_thanh,409600,331735,0.80989990234375,6464,0.01578125,82,0.0002001953125,602,0.0014697265625,11087,0.02706787109375,59630,0.1455810546875,0,0.0
3026,superclass_3026.png,district_1/ben_thanh,409600,387820,0.946826171875,1703,0.00415771484375,90,0.0002197265625,1427,0.00348388671875,6771,0.01653076171875,11789,0.02878173828125,0,0.0
3027,superclass_3027.png,district_1/ben_thanh,409600,336834,0.8223486328125,7485,0.01827392578125,2,4.8828125e-06,347,0.00084716796875,22434,0.0547705078125,42498,0.1037548828125,0,0.0
3028,superclass_3028.png,district_1/ben_thanh,409600,347495,0.84837646484375,10342,0.0252490234375,105,0.00025634765625,970,0.0023681640625,16170,0.0394775390625,34518,0.0842724609375,0,0.0
3029,superclass_3029.png,district_1/ben_thanh,409600,354951,0.86657958984375,8255,0.02015380859375,11,2.685546875e-05,2010,0.0049072265625,10104,0.02466796875,34269,0.08366455078125,0,0.0
3030,superclass_3030.png,district_1/ben_thanh,409600,370210,0.9038330078125,1602,0.0039111328125,17,4.150390625e-05,1034,0.0025244140625,13650,0.0333251953125,23087,0.05636474609375,0,0.0
3031,superclass_3031.png,district_1/ben_thanh,409600,365692,0.892802734375,1847,0.00450927734375,15,3.662109375e-05,1816,0.00443359375,17213,0.04202392578125,23017,0.05619384765625,0,0.0
3032,superclass_3032.png,district_1/ben_thanh,409600,358688,0.875703125,8698,0.0212353515625,1,2.44140625e-06,1284,0.003134765625,8170,0.0199462890625,32759,0.07997802734375,0,0.0
3033,superclass_3033.png,district_1/ben_thanh,409600,389735,0.95150146484375,2316,0.005654296875,15,3.662109375e-05,1245,0.00303955078125,6625,0.01617431640625,9664,0.02359375,0,0.0
3034,superclass_3034.png,district_1/ben_thanh,409600,381444,0.931259765625,2565,0.00626220703125,0,0.0,1180,0.002880859375,6145,0.01500244140625,18266,0.0445947265625,0,0.0
3035,superclass_3035.png,district_1/ben_thanh,409600,388675,0.94891357421875,1934,0.0047216796875,0,0.0,1498,0.0036572265625,5017,0.01224853515625,12476,0.030458984375,0,0.0
3036,superclass_3036.png,district_1/ben_thanh,409600,345167,0.84269287109375,14413,0.03518798828125,30,7.32421875e-05,1216,0.00296875,24734,0.0603857421875,24040,0.05869140625,0,0.0
3037,superclass_3037.png,district_1/ben_thanh,409600,352750,0.8612060546875,2915,0.00711669921875,229,0.00055908203125,1484,0.003623046875,19904,0.04859375,32318,0.0789013671875,0,0.0
