osmid,y,x,street_count,highway,ref,railway,geometry
11482168402,10.7137523,106.6248119,3,,,,POINT (106.6248119 10.7137523)
11482168403,10.7146731,106.6243936,3,,,,POINT (106.6243936 10.7146731)
11486273454,10.696507,106.6160595,1,,,,POINT (106.6160595 10.696507)
11486273455,10.6961611,106.616138,3,,,,POINT (106.616138 10.6961611)
11486349806,10.697856,106.625005,3,,,,POINT (106.625005 10.697856)
11491150040,10.7160773,106.6259066,3,,,,POINT (106.6259066 10.7160773)
11491150044,10.7167472,106.6250229,1,,,,POINT (106.6250229 10.7167472)
11491169109,10.752995,106.6922957,3,,,,POINT (106.6922957 10.752995)
11491169113,10.752994,106.6931975,3,,,,POINT (106.6931975 10.752994)
11491172480,10.7529972,106.6925266,3,,,,POINT (106.6925266 10.7529972)
11491172483,10.7529938,106.6931302,3,,,,POINT (106.6931302 10.7529938)
11491332718,10.730973,106.6480838,1,,,,POINT (106.6480838 10.730973)
11491407119,10.7813485,106.7594006,3,,,,POINT (106.7594006 10.7813485)
11491407120,10.781622,106.7595163,1,,,,POINT (106.7595163 10.781622)
11491747427,10.725091,106.6343467,3,,,,POINT (106.6343467 10.725091)
11491747428,10.7254907,106.6344622,1,,,,POINT (106.6344622 10.7254907)
11491858201,10.7265606,106.6350469,1,,,,POINT (106.6350469 10.7265606)
11491858202,10.7263862,106.6354031,3,,,,POINT (106.6354031 10.7263862)
11491893680,10.7262053,106.6389826,3,,,,POINT (106.6389826 10.7262053)
11491893681,10.7258405,106.6384116,3,,,,POINT (106.6384116 10.7258405)
11491893682,10.7261218,106.6384298,1,,,,POINT (106.6384298 10.7261218)
11491893683,10.7258578,106.6382519,3,,,,POINT (106.6382519 10.7258578)
11491893684,10.7262187,106.6382769,1,,,,POINT (106.6382769 10.7262187)
11494677833,10.7823775,106.6959558,3,,,,POINT (106.6959558 10.7823775)
11494677834,10.7826275,106.6956821,3,,,,POINT (106.6956821 10.7826275)
11494677838,10.7826505,106.6963525,4,crossing,,,POINT (106.6963525 10.7826505)
11494677845,10.7828969,106.6959368,3,,,,POINT (106.6959368 10.7828969)
11494677862,10.7757171,106.6991093,3,traffic_signals,,,POINT (106.6991093 10.7757171)
11494677866,10.7826221,106.6955404,4,crossing,,,POINT (106.6955404 10.7826221)
11494677867,10.7822384,106.6959623,4,crossing,,,POINT (106.6959623 10.7822384)
11494719169,10.782654,106.6964579,3,,,,POINT (106.6964579 10.782654)
