u,v,key,osmid,highway,name,oneway,reversed,length,geometry,maxspeed,lanes,service,ref,bridge,width,tunnel,access,junction
411920530,411920652,0,35115191,service,Hẻm 51/22 Cao Thắng,False,False,73.8593869836585,"LINESTRING (106.6807175 10.7701354, 106.6812378 10.7697112)",,,alley,,,,,,
411920530,411925562,0,"[35114273, 35114996]",service,"['Hẻm 51/10 Cao Thắng', 'Hẻm 174 Nguyễn Thiện Thuật']",False,"[False, True]",28.234321743979617,"LINESTRING (106.6807175 10.7701354, 106.6808449 10.7702724, 106.6809066 10.7702408)",,,alley,,,,,,
411920532,411920537,0,1120271517,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,22.428424929653243,"LINESTRING (106.6802374 10.7695768, 106.6801099 10.7694187)",,,alley,,,,,,
411920532,411920533,0,1408265459,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,28.63625999281403,"LINESTRING (106.6802374 10.7695768, 106.6804023 10.769777)",,,alley,,,,,,
411920532,411920663,0,35114708,service,Hẻm 51/54 Cao Thắng,False,False,74.7220522192115,"LINESTRING (106.6802374 10.7695768, 106.6805887 10.7692922, 106.6806372 10.7692475, 106.6807555 10.7691385)",,,alley,,,,,,
411920533,411925695,0,339106354,residential,Bàn Cờ,False,False,54.227299616861075,"LINESTRING (106.6804023 10.769777, 106.6800248 10.7700937)",,,,,,,,,
411920533,411920532,0,1408265459,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,28.63625999281403,"LINESTRING (106.6804023 10.769777, 106.6802374 10.7695768)",,,alley,,,,,,
411920533,411920662,0,1408265460,residential,Bàn Cờ,False,True,75.60566016113351,"LINESTRING (106.6804023 10.769777, 106.6809334 10.769341)",,,,,,,,,
411920533,411920534,0,35114273,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,27.8146380927303,"LINESTRING (106.6804023 10.769777, 106.6804631 10.7698435, 106.6805713 10.7699641)",,,alley,,,,,,
411920534,411920530,0,35114273,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,24.85694991626581,"LINESTRING (106.6805713 10.7699641, 106.6807175 10.7701354)",,,alley,,,,,,
